Comparison,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,Before Scaling,NeuralNet,0.505056179775281,0.22882830050549538,0.5548352204731659,0.0677416765632757,0.5712418300653594,0.36327759302577467,0.49021909233176836,0.3678537088799408,0.28653223798854865,0.07673884210874637
NC vs MCI,Before Scaling,KNN,0.8175434116445353,0.01501056552633908,0.6761863665654056,0.057814623479271986,0.11568627450980391,0.056489648199560524,0.9859937402190923,0.009959826768082967,0.19427917620137297,0.08872936851634115
NC vs MCI,Before Scaling,RandomForest,0.8513278855975486,0.023214414055938177,0.7753728251864126,0.07375130975669697,0.265359477124183,0.12594213282715092,0.9916275430359939,0.007643389786089769,0.3971520588911893,0.14831909666100732
NC vs MCI,Before Scaling,SVM,0.8063074565883553,0.004873680971397436,0.7958390868084322,0.03969409293172924,0.0,0.0,1.0,0.0,0.0,0.0
NC vs MCI,Before Scaling,LogisticRegression,0.8131256384065374,0.035705319136314216,0.7762979839823253,0.023655448518082295,0.3823529411764706,0.12820291010413745,0.9163145539906103,0.055694072012234266,0.4352635599694423,0.08879400725295478
NC vs MCI,After Scaling,NeuralNet,0.4485188968335036,0.15152899976118878,0.5227676516616037,0.07239414136634395,0.6431372549019608,0.28427991685395193,0.40344287949921753,0.2539179617839938,0.30154774444456217,0.041044368534600334
NC vs MCI,After Scaling,KNN,0.8153217568947906,0.01692959769477238,0.6377105771886219,0.09001131366021761,0.22091503267973853,0.04877936773083735,0.9580985915492958,0.01399073286296309,0.31559116246072766,0.061501734840427036
NC vs MCI,After Scaling,RandomForest,0.8490806945863125,0.018977755123336274,0.810393077418761,0.031967424825512944,0.2535947712418301,0.14456121621907714,0.9915884194053209,0.012575980563728799,0.37437354915615784,0.1758877531200534
NC vs MCI,After Scaling,SVM,0.8603677221654749,0.02033815342926876,0.8157530148209519,0.04948013030624101,0.46274509803921565,0.12134704664130039,0.9553208137715181,0.026738432790612308,0.5557982884358597,0.08500392555827799
NC vs MCI,After Scaling,LogisticRegression,0.8220888661899899,0.021429853544305044,0.7368613642640154,0.04795189935635674,0.3836601307189542,0.15285596195956158,0.9274647887323944,0.038515272075847415,0.44188423297407714,0.11011662101946455
NC vs AD,Before Scaling,NeuralNet,0.5326623800205013,0.10287347251956755,0.5082524778299427,0.15621102581935273,0.3536140350877193,0.19051281009286447,0.7204225352112676,0.052078791671615735,0.4201792641485852,0.18134228931910606
NC vs AD,Before Scaling,KNN,0.7166247320846146,0.05235511581851319,0.7709634159734234,0.05379645366539207,0.6490175438596493,0.06158364554477249,0.7879499217527386,0.0773578906678019,0.7010087783365815,0.05487369308037443
NC vs AD,Before Scaling,RandomForest,0.8801323269033642,0.027773561160625848,0.9463197018367515,0.016190352896227715,0.8750526315789473,0.02186178919996482,0.8854068857589985,0.06430102900770726,0.8826484117764208,0.023330838205075977
NC vs AD,Before Scaling,SVM,0.8760320566582797,0.029364478502693334,0.9537823353375614,0.005722036540189054,0.8750175438596491,0.03201107841473384,0.8769953051643193,0.06227103799399285,0.8789334189965416,0.02597953026883522
NC vs AD,Before Scaling,LogisticRegression,0.7970366228683254,0.02082120178673356,0.8653079098371907,0.025438295300118978,0.7926315789473685,0.06467286335980055,0.8016823161189357,0.04747971347641568,0.7991404981130794,0.027750250285535318
NC vs AD,After Scaling,NeuralNet,0.5325691920603857,0.13410613582043215,0.5566239189523103,0.17202146022569906,0.34628070175438597,0.32085710660084105,0.7295774647887324,0.18246747127938415,0.37543139128194364,0.2727824904856677
NC vs AD,After Scaling,KNN,0.7017053396701145,0.048222856042468946,0.7885247782994261,0.0360661919201864,0.5215087719298246,0.0900209954649461,0.8912754303599375,0.039329077166832836,0.6387117266513032,0.07346615570181345
NC vs AD,After Scaling,RandomForest,0.8705991985835431,0.01842773945124264,0.9439987370617468,0.017049899335883783,0.8750526315789473,0.027287442051067482,0.866001564945227,0.057608798893049394,0.8741802310241125,0.014304841664225612
NC vs AD,After Scaling,SVM,0.8814928711210512,0.026936390517515157,0.9539789418773852,0.010331843917918072,0.8803508771929824,0.03986125521844523,0.8825899843505477,0.0718201600428395,0.8843278205989691,0.022455700729022296
NC vs AD,After Scaling,LogisticRegression,0.8024787997390737,0.02905265243852073,0.8654124317052411,0.029885975797983796,0.7820350877192982,0.08092813405044275,0.8238262910798122,0.06851406788102754,0.800995345712711,0.03480513234718331
MCI vs AD,Before Scaling,NeuralNet,0.566573165030388,0.18083643106859892,0.5142330008026603,0.09181544359859921,0.6034736842105263,0.29627232654147734,0.41045751633986927,0.36631640092046475,0.6516242131446914,0.2544453137026393
MCI vs AD,Before Scaling,KNN,0.8118279569892474,0.04218791860217909,0.7211820892099531,0.04134659354601413,0.9415438596491228,0.042662684486373725,0.24444444444444446,0.11363906264391913,0.8903333864494218,0.026409075047811564
MCI vs AD,Before Scaling,RandomForest,0.8506545114539504,0.014029725013160707,0.8417313381492948,0.06061444830079126,0.9920350877192983,0.011906323601563148,0.23202614379084968,0.055072874334486,0.9153457356535902,0.007874880283468758
MCI vs AD,Before Scaling,SVM,0.8700561009817672,0.020763758917659116,0.8489930053892902,0.055860817255439295,0.9415438596491228,0.03193907712479923,0.5581699346405229,0.13478956152470747,0.9218143589070777,0.012234634096117188
MCI vs AD,Before Scaling,LogisticRegression,0.8007947639083683,0.03163339362481853,0.7785444329778695,0.06659441890087478,0.9016140350877192,0.038344953877171524,0.35882352941176476,0.10273087762689989,0.8802897994416427,0.02035225067980938
MCI vs AD,After Scaling,NeuralNet,0.5211313697989715,0.17976775100043704,0.45659649122807017,0.04979555459042577,0.5499649122807018,0.30480077907982794,0.3993464052287582,0.3939935203789012,0.605900292454408,0.24606008897748205
MCI vs AD,After Scaling,KNN,0.7879149135109864,0.01911352469454317,0.705072698085082,0.03760029611522101,0.8936842105263156,0.030903099180099335,0.3248366013071896,0.11849729080689769,0.8726081385445635,0.013125191855037984
MCI vs AD,After Scaling,RandomForest,0.8398083216456287,0.02105273226908207,0.8087391354202499,0.05521358029085712,0.9893333333333333,0.01738453974720708,0.18562091503267975,0.07489294907519592,0.9095182961350943,0.011970280035561973
MCI vs AD,After Scaling,SVM,0.859256661991585,0.021985687535569388,0.8658236440775141,0.05339435509064375,0.9281754385964913,0.024272612991989764,0.5581699346405229,0.1282112401070769,0.9147758317721072,0.013365174685606933
MCI vs AD,After Scaling,LogisticRegression,0.8332398316970547,0.03171843615863753,0.7230079119367046,0.06660992351361733,0.9627719298245614,0.014583791708928744,0.26535947712418306,0.13900226053380743,0.9039764630719789,0.017177092672250056
